https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1609570800000,2021-01-02 07:00:00,XRP/USDT,0.23383000,0.23640000,0.23310000,0.23337000,25016736.90000000,5880455.35435000,10226
1609567200000,2021-01-02 06:00:00,XRP/USDT,0.23556000,0.23566000,0.23251000,0.23385000,21678022.90000000,5075766.11718900,9402
1609563600000,2021-01-02 05:00:00,XRP/USDT,0.23480000,0.23615000,0.23357000,0.23559000,19669033.00000000,4620197.19188800,8277
1609560000000,2021-01-02 04:00:00,XRP/USDT,0.23461000,0.23495000,0.23234000,0.23482000,22286397.70000000,5206730.10867900,9759
1609556400000,2021-01-02 03:00:00,XRP/USDT,0.23374000,0.23526000,0.23369000,0.23461000,17579256.30000000,4124071.35593100,6924
1609552800000,2021-01-02 02:00:00,XRP/USDT,0.23658000,0.23823000,0.23344000,0.23367000,26667887.20000000,6287746.89704100,11934
1609549200000,2021-01-02 01:00:00,XRP/USDT,0.23231000,0.23750000,0.23120000,0.23649000,33705190.10000000,7913605.70511500,15753
1609545600000,2021-01-02 00:00:00,XRP/USDT,0.23740000,0.23767000,0.23078000,0.23229000,43024272.60000000,10048741.37453800,17002
1609542000000,2021-01-01 23:00:00,XRP/USDT,0.23783000,0.23986000,0.23396000,0.23746000,30886810.50000000,7297615.47264600,13961
1609538400000,2021-01-01 22:00:00,XRP/USDT,0.23770000,0.23960000,0.23698000,0.23783000,19778855.30000000,4710865.98152800,10589
1609534800000,2021-01-01 21:00:00,XRP/USDT,0.23706000,0.24100000,0.23657000,0.23767000,38449391.00000000,9178753.78570000,17717
1609531200000,2021-01-01 20:00:00,XRP/USDT,0.23382000,0.23798000,0.23243000,0.23703000,36479865.10000000,8602609.96289100,16539
1609527600000,2021-01-01 19:00:00,XRP/USDT,0.23470000,0.23683000,0.23000000,0.23371000,52110726.20000000,12171933.10393000,29296
1609524000000,2021-01-01 18:00:00,XRP/USDT,0.23680000,0.24100000,0.22888000,0.23471000,89993569.80000000,21153225.95656500,43896
1609520400000,2021-01-01 17:00:00,XRP/USDT,0.24662000,0.25000000,0.23424000,0.23681000,126818108.90000000,30782292.12002300,56159
1609516800000,2021-01-01 16:00:00,XRP/USDT,0.24289000,0.24960000,0.24000000,0.24663000,93929644.30000000,22974725.18290400,43696
1609513200000,2021-01-01 15:00:00,XRP/USDT,0.23674000,0.24460000,0.23654000,0.24282000,72727117.60000000,17436911.73761900,30866
1609509600000,2021-01-01 14:00:00,XRP/USDT,0.23428000,0.23787000,0.23250000,0.23681000,46923851.90000000,11028444.69959700,17416
1609506000000,2021-01-01 13:00:00,XRP/USDT,0.23318000,0.23646000,0.23318000,0.23425000,36855285.00000000,8658974.43386700,14453
1609502400000,2021-01-01 12:00:00,XRP/USDT,0.23736000,0.24024000,0.23139000,0.23320000,58046499.50000000,13697845.79041300,24506
1609498800000,2021-01-01 11:00:00,XRP/USDT,0.23698000,0.24231000,0.23526000,0.23732000,60938639.20000000,14527690.96183900,25907
1609495200000,2021-01-01 10:00:00,XRP/USDT,0.23263000,0.23920000,0.23020000,0.23692000,51970059.80000000,12187538.03864900,22317
1609491600000,2021-01-01 09:00:00,XRP/USDT,0.22878000,0.23781000,0.22851000,0.23259000,60071806.00000000,13998241.25298800,25798
1609488000000,2021-01-01 08:00:00,XRP/USDT,0.22971000,0.23195000,0.22577000,0.22874000,50737349.10000000,11600035.74783000,22876
1609484400000,2021-01-01 07:00:00,XRP/USDT,0.23421000,0.23430000,0.22564000,0.22976000,75509666.30000000,17306827.72469900,30512
1609480800000,2021-01-01 06:00:00,XRP/USDT,0.23819000,0.23903000,0.23037000,0.23428000,59163886.60000000,13886421.43001500,24093
1609477200000,2021-01-01 05:00:00,XRP/USDT,0.23891000,0.24187000,0.23470000,0.23819000,73967814.50000000,17626214.40653000,33767
1609473600000,2021-01-01 04:00:00,XRP/USDT,0.22730000,0.25000000,0.22640000,0.23898000,202261688.60000000,48750001.93685300,85810
1609470000000,2021-01-01 03:00:00,XRP/USDT,0.22370000,0.22901000,0.22339000,0.22730000,36455710.50000000,8244463.15615500,15609
1609466400000,2021-01-01 02:00:00,XRP/USDT,0.22382000,0.22495000,0.22300000,0.22361000,24103267.50000000,5396238.43261700,11014
1609462800000,2021-01-01 01:00:00,XRP/USDT,0.22160000,0.22695000,0.22112000,0.22382000,50498851.00000000,11329764.57799600,20059
1609459200000,2021-01-01 00:00:00,XRP/USDT,0.21953000,0.22235000,0.21600000,0.22162000,41811263.20000000,9182730.72760700,15775
1609455600000,2020-12-31 23:00:00,XRP/USDT,0.22376000,0.22562000,0.21740000,0.21959000,46548213.90000000,10304257.03055900,18674
