https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1601967600000,2020-10-06 07:00:00,ADA/USDT,0.09771000,0.09809000,0.09667000,0.09670000,6007781.60000000,585081.29229000,1497
1601964000000,2020-10-06 06:00:00,ADA/USDT,0.09769000,0.09818000,0.09735000,0.09771000,6991161.30000000,683658.89216800,1282
1601960400000,2020-10-06 05:00:00,ADA/USDT,0.09850000,0.09857000,0.09739000,0.09777000,7374928.60000000,720951.27445600,1705
1601956800000,2020-10-06 04:00:00,ADA/USDT,0.09796000,0.09864000,0.09773000,0.09847000,6037812.90000000,593317.79638000,1680
1601953200000,2020-10-06 03:00:00,ADA/USDT,0.09747000,0.09851000,0.09707000,0.09798000,8781958.50000000,859900.71981200,2047
1601949600000,2020-10-06 02:00:00,ADA/USDT,0.09685000,0.09763000,0.09683000,0.09747000,5104561.40000000,496678.89701500,1238
1601946000000,2020-10-06 01:00:00,ADA/USDT,0.09693000,0.09736000,0.09645000,0.09684000,4057833.30000000,393270.79118500,1069
1601942400000,2020-10-06 00:00:00,ADA/USDT,0.09740000,0.09777000,0.09687000,0.09691000,4747190.60000000,461871.51020000,1242
1601938800000,2020-10-05 23:00:00,ADA/USDT,0.09719000,0.09783000,0.09650000,0.09738000,5856663.30000000,569758.28343400,1344
1601935200000,2020-10-05 22:00:00,ADA/USDT,0.09642000,0.09731000,0.09642000,0.09719000,2878078.90000000,279107.14698700,804
1601931600000,2020-10-05 21:00:00,ADA/USDT,0.09696000,0.09707000,0.09611000,0.09637000,3510467.40000000,339269.76302300,1010
1601928000000,2020-10-05 20:00:00,ADA/USDT,0.09632000,0.09700000,0.09625000,0.09692000,4731971.50000000,457399.33153100,1119
1601924400000,2020-10-05 19:00:00,ADA/USDT,0.09630000,0.09672000,0.09620000,0.09632000,4158120.80000000,401170.71438300,1150
1601920800000,2020-10-05 18:00:00,ADA/USDT,0.09645000,0.09662000,0.09585000,0.09632000,7319101.60000000,704676.08291700,1485
1601917200000,2020-10-05 17:00:00,ADA/USDT,0.09760000,0.09762000,0.09630000,0.09643000,8041123.30000000,778803.35356500,1873
1601913600000,2020-10-05 16:00:00,ADA/USDT,0.09760000,0.09777000,0.09700000,0.09762000,5858023.30000000,570616.54625300,1310
1601910000000,2020-10-05 15:00:00,ADA/USDT,0.09774000,0.09779000,0.09714000,0.09759000,6834765.60000000,666403.98825400,1291
