https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1598248800000,2020-08-24 06:00:00,EOS/USDT,3.33210000,3.39910000,3.32450000,3.39070000,835360.56000000,2812588.57409300,6349
1598245200000,2020-08-24 05:00:00,EOS/USDT,3.34540000,3.35080000,3.33120000,3.33210000,297747.09000000,994893.15966400,2515
1598241600000,2020-08-24 04:00:00,EOS/USDT,3.36080000,3.36230000,3.33920000,3.34520000,244666.08000000,819064.91559200,2085
1598238000000,2020-08-24 03:00:00,EOS/USDT,3.34210000,3.36450000,3.33820000,3.36140000,422167.51000000,1415228.70179300,3446
1598234400000,2020-08-24 02:00:00,EOS/USDT,3.31520000,3.36360000,3.31500000,3.34210000,721857.53000000,2412646.48047900,5245
1598230800000,2020-08-24 01:00:00,EOS/USDT,3.31150000,3.31840000,3.29980000,3.31500000,257775.50000000,852951.11603500,2167
1598227200000,2020-08-24 00:00:00,EOS/USDT,3.32200000,3.32630000,3.28440000,3.31000000,524283.79000000,1729693.09147300,4036
1598223600000,2020-08-23 23:00:00,EOS/USDT,3.31840000,3.33500000,3.31690000,3.32120000,164248.16000000,546674.65732000,1881
1598220000000,2020-08-23 22:00:00,EOS/USDT,3.34070000,3.34200000,3.31360000,3.31780000,144294.98000000,479499.48609200,1701
1598216400000,2020-08-23 21:00:00,EOS/USDT,3.34020000,3.34510000,3.32480000,3.34090000,219021.76000000,730320.56535100,2435
1598212800000,2020-08-23 20:00:00,EOS/USDT,3.36370000,3.36830000,3.34010000,3.34030000,293563.75000000,985198.53160200,2733
1598209200000,2020-08-23 19:00:00,EOS/USDT,3.34830000,3.37400000,3.34020000,3.36330000,437024.90000000,1469763.83353000,3213
1598205600000,2020-08-23 18:00:00,EOS/USDT,3.32990000,3.35800000,3.32400000,3.34840000,263733.92000000,882085.60597200,2593
1598202000000,2020-08-23 17:00:00,EOS/USDT,3.33680000,3.34360000,3.31530000,3.32900000,352868.78000000,1175452.72527800,3046
1598198400000,2020-08-23 16:00:00,EOS/USDT,3.33960000,3.36770000,3.32490000,3.33700000,582798.19000000,1949605.59958200,4693
1598194800000,2020-08-23 15:00:00,EOS/USDT,3.32220000,3.34530000,3.31650000,3.33930000,370145.45000000,1232860.40632700,2983
1598191200000,2020-08-23 14:00:00,EOS/USDT,3.32410000,3.33650000,3.30860000,3.32280000,410835.60000000,1365117.25061100,3249
1598187600000,2020-08-23 13:00:00,EOS/USDT,3.28200000,3.33540000,3.26860000,3.32420000,793138.67000000,2623097.45950400,6056
1598184000000,2020-08-23 12:00:00,EOS/USDT,3.24600000,3.28350000,3.24410000,3.28180000,379378.31000000,1237420.38247200,3014
1598180400000,2020-08-23 11:00:00,EOS/USDT,3.24410000,3.26510000,3.22780000,3.24500000,552499.06000000,1794153.22244000,4369
1598176800000,2020-08-23 10:00:00,EOS/USDT,3.29840000,3.30090000,3.23090000,3.24310000,843663.58000000,2756883.62654200,5887
1598173200000,2020-08-23 09:00:00,EOS/USDT,3.28610000,3.31000000,3.27820000,3.29890000,261386.21000000,862188.80130800,2183
1598169600000,2020-08-23 08:00:00,EOS/USDT,3.31950000,3.31990000,3.28180000,3.28630000,273281.59000000,900633.95538900,2307
